topic_id,topic_name,topic_whether_background,topic_havebg_id,topic_havebg_else,topic_category,topic_synopsis,topic_remark,topic_teacher,topic_whether_pass,topic_major,topic_time
2022xj037,基于Python的个人爱好与生活习惯的关联分析,FALSE,,,基础型,一个人的爱好与个人的生活习惯紧密相关，如何挖掘二者之间的关系，成为了一个重要的研究课题。通过个人习惯分析个人的爱好，然后再通过引发个人爱好从而促进生活习惯的改善，是一个非常有意义的研究课题。在本课题中，我们提供一定量的个人习惯与个人爱好的数据，请根据这些数据，选取适当的关联规则，分析这些个人习惯与个人爱好之间的联系，也可以进一步的考虑，如何培养一些好的爱好，从而促进个人习惯的改进。在本课程的研究过程中，我们主要使用Python程序读取数据，编写Python程序建立模型分析数据、处理数据和挖掘数据，从而得出相关的结论。,对Python编程有一定的兴趣和基础,孙园,TRUE,信息与计算科学,2021/11/4
2022wl050,丝瓜碳网络架构氧化钴掺杂材料的电化学性能研究,FALSE,,,基础型,"超级电容，又名电化学电容，双电层电容器、黄金电容、法拉电容，是从上世纪七、八十年代发展起来的通过极化电解质来储能的一种电化学元件。
它不同于传统的化学电源，是一种介于传统电容器与电池之间、具有特殊性能的电源，主要依靠双电层和氧化还原赝电容电荷储存电能。但在其储能的过程并不发生化学反应，这种储能过程是可逆的，也正因为此超级电容器可以反复充放电数十万次。
超级电容的储能材料要具备质量比高电容、高循环寿命等性能。
  丝瓜碳在高温煅烧下会形成网状结构，借助氢氧化钾的作用，掺杂一定量的氧化钴氧化物粉末，形成有机复合材料。该材料用来制备超级电容的活性材料，有可能会形成较好的电化学性能。我们计划探索该材料的制备条件与材料的电化学性能之间的关系。探索出最优化的制备条件进而得到材料较好的电化学性能。",最好有考研计划的同学。每周至少二天能在学校实验室做实验。,赵雨,TRUE,应用物理学,2021/11/5
2022wl051,光伏组件倾角与发电量的关系的实验研究,FALSE,,,工程实践/应用型,"由于光伏发电系统的清洁性和安全性，在电力系统中的应用越来越广泛，光伏系统发电量受到很多外界因素的影响，包括光伏板的性能、太阳辐照强度、环境温度等，其中太阳辐照强度是最主要的因素［１－３］。文献［４－６］提出了倾斜面上月平均太阳辐照量的计算方法，该方法对于散射量的计算偏差较小。文献［７］采用了 Ｈａｙ提出的各向异性天空辐照模型，能够更加精确地计算斜面辐照量的大小；文献［８］给出一种按季调节的组件倾角的调节方法；文献［９］对于给定的倾角范围，对不同角度下的光伏组件发电量多少确定组件的最优
化倾角；文献［１０］针对武汉地区某一光伏平台，设置不同倾角，统计对应角度下的光伏组件发电量的多少确定组件的最优化角度。
  但是至今还没有一篇文献介绍有关组件倾角与最终发电量之间的关系的实验验证性实验。该课题打算就该问题做实验验证。关键问题是用组件开路电压或者短路电流代替最终的发电量的合理性。还有我们打算用不同月份的组件的实际发电量测量来定量实验验证我们的结论。",最好考研究生的同学。每周至少一天在学校做实验。,赵雨,TRUE,应用物理学,2021/11/5
2022xj004,最小生成树算法及其实际应用,FALSE,,,其它,"给定一个带权的False向连通图, 如何选取一棵生成树, 使树上所有边上权的总和为最小,这叫最小生成树。求一个赋权连通图的最小生成树在很多实际问题中都有着应用背景，例如旅游路线选择问题、城市高速公路修建问题及最小成本问题等。构建一个赋权连通图的最小生成树，有两个著名的算法，一个是罗伯特·普林（Robert Clay Prim) 在1957年给出的； 另一个算法是约瑟夫·克鲁斯卡尔（Joseph Bernard Kruskal) 在1956年发现的。这两个算法都是通过添加还没有使用过的具有规定性质且权最小的边来进行的。利用最小生成树算法来解决现实生活中遇到的实际问题，是一件有趣而且也有意义的工作。","1. 掌握图论的基础知识，有一定的分析和解决问题的能力；
2. 能熟练使用Matlab数学软件编写程序。",邓芸萍,TRUE,信息与计算科学,2021/11/5
2022xj005,学生社团管理系统的设计与实现,FALSE,,,工程实践/应用型,"随着我国高等教育体制改革的深入，各个高校都组织了各种学生社团。学生社团是由学生自发组织在一起,实现大家的一致理想，并依据一定的制度来展开活动,不以盈利为目的的学生团体。学生社团是高等学校校园文化的重要载体，是高等学校第二课堂的重要组成部分，对浓厚校园文化氛围，丰富学生课余生活,促进学生全面发展起着非常重要的作用。参与学生社团活动也是学生丰富校园生活，培养兴趣爱好，扩大求知领域,增加交友范围，丰富内心世界的重要方式。随着高校社团数量与社员人数的不断增加,社团日常管理成为高校社团工作中一个较为突出的问题。比如,许多社团在管理过程中出现了社员信息统计不全、社团活动通知不畅等诸多问题。本课题希望开发一个学生社团管理系统，要求是一个较为完备、安全高效,方便大学生开展社团活动的管理系统，既有利于高校社团管理趋向规范化,又为学校开展社团活动提供了具有实践意义的信息化管理方法。",要求学生有Web数据库应用系统开发的基础或兴趣，并且具备主动学习探索的能力。,冯莉,TRUE,信息与计算科学,2021/11/5
2022xj006,网上订餐系统的设计与实现,FALSE,,,工程实践/应用型,"随着社会的发展,互联网已经成为人类生活的一部分。电子商务作为商业活动与互联网相结合的产物,也实现了高速增长。网上订餐系统作为电子商务的一种,越来越受到人们的欢迎。网上订餐为顾客提供了更有效、快捷的订餐服务,让顾客足不出户就可以享受美食。对比传统就餐方式,网上订餐拥有明显优势。首先,对商家而言,网上订餐不仅提供了更有效率的管理方式,也降低了他们的经营成本。其次,对顾客而言,网上订餐提高了订餐的效率,节约了就餐排队等待的时间,而且更加经济实惠。最后,网上订餐还为顾客和商家之间建立了一种新型的沟通渠道。",要求学生有Web数据库应用系统开发的基础或兴趣，并且具备主动学习探索的能力。,冯莉,TRUE,信息与计算科学,2021/11/5
2022xj007,过程化成绩管理系统的设计与实现,FALSE,,,工程实践/应用型,"过程化考核，是指在教学的全过程中，对学生的学习行为、学习习惯、学习态度、学习表现、学习积极性等情况进行全面而综合的考量，为了适应学校教育教学工作改革要求，充分调动学生的积极性，并实现对学生全方位、多元化的考核。在传统的教学模式下,学生学习效果和教师教学效果反馈较慢，过程化考核将考核分散到整个教学过程中,使得成绩评定更合理。本课题希望开发一个过程化成绩管理系统，使得教务人员和教师能够通过该平台快速、便捷的进行课程配置、考核方式配置、成绩导入、汇总计算、成绩分析等一系列工作；学生也能够通过该平台查询到相应课程的过程化成绩及最终成绩。",要求学生有Web数据库应用系统开发的基础或兴趣，并且具备主动学习探索的能力。,冯莉,TRUE,信息与计算科学,2021/11/5
2022xj055,False人机集群协同对抗问题研究,FALSE,,,基础型,"该选题源于2020年华为杯研究生数学建模竞赛D题。感兴趣的同学可以在网上搜一下。新一代人工智能技术和自主技术快速走向战场，将催生新型作战力量，颠覆传统战争模式，未来战争必将是智能化战争。False人机集群作战作为智能作战的重要形式，正在崭露头角。通过多架False人机协同侦察、协同探测、协同跟踪、协同攻击、协同拦截等，共同完成较复杂的作战任务。
现考虑红、蓝双方的False人机集群在平面区域内的协同对抗问题。蓝方作为进攻方，希望突破红方False人机的拦截，成功抵达目的地遂行军事行动；红方则希望在给定的区域内完成对蓝方False人机的拦截，阻止蓝方的突防。具体信息看原题目。
该选题主要针对False人机集群协同对抗中一些比较简单的问题进行分析和求解。",微分方程和控制论基础知识扎实，具有较强的编程能力。,吴泉军,TRUE,信息与计算科学,2021/11/5
2022xj001,二阶微分方程及其应用,FALSE,,,基础型,"首先研究二阶微分方程解的存在性和唯一性，以及解的图像，利用的方法是数学分析的知识以及相平面方法（分析导数和解的关系）；
其次，根据实际现象，给出数学模型（一般形如热传导方程），研究模型解的存在性、唯一性、解的极限状态，这些在生态学中有应用，比如可以反映种群的生存状态等。
最后，如果计算机比较好，可以用MATLAB简单画图，或者数值模拟；
论文的第一章：介绍二阶微分方程的来源和背景、介绍所建立的数学模型的发展历史；
第二章：分析三种类型的二阶微分方程解的存在性和形状；
第三章：研究方程解的间渐近形态，在生态学或者其他学科中的应用；
第四章：数值结果。",,蔡静静,TRUE,信息与计算科学,2021/11/5
2022xj040,奇异摄动系统事件驱动控制的设计,FALSE,,,基础型,"事件驱动控制与传统的固定周期控制不同,它是一种变周期的控制方式。此时，信号不再按照事先设计好的固定周期进行传输，而是依据于驱动条件成立与否来进行传输。而已有的工作大部分是针对正常系统进行研究的。关于非正则系统的研究较少，这是因为非正则系统与一般系统的性质不同，研究起来有难度。       
特别地，奇异摄动系统是一类重要的非正则系统，因其具有快慢两个子系统而备受关注。它在机器人仿生学或航天航空中大有用武之地。因快系统的存在，奇异摄动系统的事件驱动控制的研究还非常少。本毕业论文拟对奇异摄动系统的事件驱动控制进行研究，拟给出合理的驱动控制条件，实现控制目标。
",要求：熟悉微积分，线性代数，微分方程求解等。,王隔霞,TRUE,信息与计算科学,2021/11/5
2022xj041,一类超混沌系统的数学模型,FALSE,,,基础型,"1979 年，学者 O. E. R&#246;ssler首次发现了一个可以同时产生两个方向上双曲不稳定的混沌奇异吸引子的四维动力学系统，并将之命名为超混沌现象。 相较于常见的三维混沌系统，超混沌系统在实际应用中更能满足通信保密、图像加密、人工神经网络、 非线性电路等领域的需求。相较于低维混沌系统较为简单的动力学特性，超混沌系统具有更复杂的动力学特性, 现已成为混沌系 统中极具研究价值的一个方向。
本毕业设计针对一类三维 Lü 系统基础上进行修改得到的四维微分方程, 拟通过根据平衡点对应的雅可比矩阵计算出相应的特征值判定平衡点的稳定性，利用相空间容积率研究系统的耗散性等方法对系统进行了定性分析；并通过计算 Lyapunov 指数和维数等，对系统进行了数值仿真定量分析。
",要求：熟悉微积分，线性代数，微分方程求解等。,王隔霞,TRUE,信息与计算科学,2021/11/5
2022xj042,一致性原理在电力系统经济调度问题中的应用,FALSE,,,基础型,"在电力系统中，经济调度是最基础的问题之一，它是指在满足一系列的情况下，合理地使用设备、能源，在保证可靠安全地供电情况下成本最低，其中经典经济调度和现代经济调度是传统采用的解决经济调度用的两种集中优化方法，然而集中优化方法在电网的不断发展下问题日益凸显，而分布式优化算法能够解决集中优化方法不能解决的问题，所以研究分布式优化对电力系统经济调度有着重要意义。
本毕业论文拟通过一致性原理来研究分布式经济调度问题，将经济调度问题转化为智能体的一致性问题，依据智能体的一致性来实现分布式经济调度最优。事实上, 把发电单元的微增成本看成一致性变量，从而设计对发电机组与其它的分布式电源的分布优化算法的经济调度模型，进而实现分布式的经济调度。
",要求：熟悉微积分，线性代数，微分方程求解等。,王隔霞,TRUE,信息与计算科学,2021/11/5
2022xj038,基于模糊偏序关系法的高校学生干部绩效评价体系研究,FALSE,,,工程实践/应用型,如何对学生干部进行有效的日常管理成为一个值得研究的课题。高校学生干部是大学校园学生管理工作的中坚力量，高校学生干部管理是大学教育管理的重要基础；学生干部是大学生科学文化活动的组织者和参与者，也是大学生学习生活的示范者和引领者，学生干部的绩效水平直接关系到高校日常管理的效果与水平，因此，加强高校学生干部队伍建设具有重要的现实意义。为此，我们引入模糊偏序关系法，从上级考评，同级互评，下级评定，同学评定及学干自评5个方面，以工作态度，工作能力，工作乘积和学习生活为评价指标建立高校干部绩效评价体系模型， 为培养服务于创新型社会创新型人才提供参考。,,佟洁,TRUE,信息与计算科学,2021/11/5
2022xj039,基于模糊偏序关系法的大学生体质健康提升研究,FALSE,,,工程实践/应用型,青少年的体质健康问题已经成为全球各国关注的重要议题。近年来，我国政府对学生体质健康测试工作也愈发重视，出台一系列相关政策措施来加强青少年体质健康提升工作。大学生的身体健康状况不仅关系到一个国家的未来，还直接影响大学生成长成才。切实提升大学生体质健康水平是全面贯彻落实党的教育方针的重要举措，对增强学生体质，培养健康的社会主义合格建设者和可靠接班人有着深远的意义。为此，我们引入模糊偏序关系法，以力量素质，速度素质，耐力素质，柔韧素质，灵敏素质为指标建立评价体系模型，为提高体育教学质量，提升大学生体质健康提供参考。,,佟洁,TRUE,信息与计算科学,2021/11/5
2022wl030,复杂网络的度演化涨落特征,FALSE,,,基础型,"复杂系统中存在着各种涨落行为，例如Internet拓扑的演化、电力系统负载的波动、股票经济的震荡等等。这类涨落不是随机的，而是与系统的结构、功能运作及内部的关联性密切相关。如何通过对宏观涨落行为的研究揭示系统内部的动力学机制一直是复杂系统研究的重大课题。 
    一类最主要的涨落研究是Gibrat Law统计分析，主要通过研究变量增长率标准差与初始变量自身的关系来确定系统演化的性质。该方法在经济物理学、生态种群演化、粒子随机游走，传染扩散动力学等都有重要应用。这类涨落分析的价值在于系统很多内在隐藏的结构和关联是通过涨落特征表现的，因此对涨落产生机制的研究有助于我们认识实际复杂系统内部的组织结构和运行规律。在现有的理论里，Gibrat law涨落与系统内部的关联性密切相关，因此被用以表征系统内关联特征。是否还存在其他机制可以导致这一涨落行为尚不明确，我们的研究将主要寻求这种可能的机制，并尝试在实证中给出证据。
","1. 态度认真积极，如果是连论文格式都不会认真修改的，妄图做甩手掌柜的不要选我。
2. 要有充足的在校时间，并按时完成老师布置的任务
",钱江海,TRUE,应用物理学,2021/11/5
2022wl031,复杂网络节点凝聚的调控,FALSE,,,基础型,"复杂网络是利用统计物理方法研究交通、社会、经济、技术等各类网络系统一般演化规律的学科。其中一类特殊的演化模式是，网络在特定的情况下会自发演化成单一节点具有几乎所有连边的类星型网络，从而形成网络结构上的波色-爱因斯坦凝聚现象。这类现象映射到社会经济学中即暗示市场出现的垄断特征。因此理解凝聚现象出现的原因即可帮助我们理解垄断自发发生的条件和机制。 
复杂系统中对于凝聚现象的研究主要基于适应度模型。研究表明，当节点随机加入网络时，网络度的演化与波色-爱因斯坦凝聚存在对应关系，从而首次从理论上给出垄断结果的自组织形成机制。但是，如何有效的（特别是先验的）以最小的市场干预来预防垄断的发生依然是一个有待解决的重要课题。我们的研究目标就是期望设计出一种有效的策略实现对凝聚现象的调控，并进一步找出最优的调控策略。这将为管理市场，例如预防垄断发生提供理论指导，具有重要的学术意义和应用价值。
","1. 态度认真积极，如果是连论文格式都不会认真修改的，妄图做甩手掌柜的不要选我。
2. 要有充足的在校时间，并按时完成老师布置的任务
",钱江海,TRUE,应用物理学,2021/11/5
2022wl032,动态空间约束的网络结构演化,FALSE,,,基础型,"复杂网络是利用统计物理方法研究交通、社会、经济、技术等各类网络系统一般演化规律的学科。网路系统的结构对其功能有着重要影响，例如输运性质，稳定性质，传播性质等。因此，理解网络结构的演化规律及其背后的原理是我们预测系统结构形成的重要途径。其中一类节点嵌入空间几何的网络其结构与空间约束密切有关，诸如电力网络，交通网络，能源配送输运网络，Internet物理层网络等。

以往的研究表明了空间约束导致网络连边的趋近性，然而约束效应本身也可能随着时间发生改变，这种动态的约束效果对网络演化过程的影响尚不明确，我们研究的目标就是期望通过模型建立，一定程度确定动态空间约束对网络结构的具体效应。",1. 态度认真积极，如果是连论文格式都不会认真修改的，妄图做甩手掌柜的不要选我。 2. 要有充足的在校时间，并按时完成老师布置的任务,钱江海,TRUE,应用物理学,2021/11/5
2022xj011,面向碳中和的能源电力系统分析与运行,FALSE,,,工程实践/应用型,随着电网的发展，越来越多的可再生能源和新型负荷并入电网，如光伏、风电、电动汽车、储能系统等等。在“碳达峰、碳中和”背景下，以及智能电网下的电力市场发展，可再生能源和新型负荷将会发挥巨大的调峰和减排作用。本课题从社会效益和能源系统安全运行角度，分析碳中和背景下可再生能源的发电特性和并网需求，进一步探求复合某方利益或各方均衡利益的运行方案。在“碳达峰、碳中和”下，该课题对综合能源系统运行具有重要的现实意义和应用价值。,积极主动，能够愿意为完成课题任务而努力；对数学建模和编程实现有兴趣；其他建模和代码实现方面，指导教师可以给予适当的指导。,江兴稳,TRUE,信息与计算科学,2021/11/6
2022xj012,平抑可再生能源波动性的储能系统运行策略,FALSE,,,工程实践/应用型,随着可再生能源的发展，光伏、风电装机容量和发电电量越来越大，但光伏和风电具有极强的波动性。储能系统具有很好的条件作用，但一般情况下，电能还不能够实现大规模的储存。另外，储能系统本身的造价和运行成本也不低，在“碳达峰、碳中和”背景下，如何将有限的储能资源发挥巨大的调峰和减排作用，是本课题的研究对象。本课题从社会效益和能源系统安全运行角度，在分析可再生能源的发电特性基础上，探求平抑可再生能源波动性的储能系统运行策略，助力 “碳达峰、碳中和”目标，该课题对新型能源系统运行具有重要的现实意义和应用价值。,积极主动，能够愿意为完成课题任务而努力；对数学建模和编程实现有兴趣；其他建模和代码实现方面，指导教师可以给予适当的指导。,江兴稳,TRUE,信息与计算科学,2021/11/6
2022wl022,我国西部地区光伏发电的调查研究,FALSE,,,其它,"太阳能是一种清洁、安全，并且取之不尽用之不竭的可再生能源。太阳能的发展在我国能源战略中具有重要意义。
我国西部地区幅员辽阔，人烟稀少，太阳光辐射强烈，日照时间长，太阳能资源极其丰富。在我国西部地区大力发展太阳能产业，不仅对于解决我国能源问题具有重要意义，还可以促进当地经济发展，提高人们的生活水平，实现共同富裕。
本课题拟通过对我国西部地区当前太阳能光伏发电的调查研究，以期了解我国西部地区光伏发电的发展现状，并预测当地光伏发电的未来发展。",,李鹏飞,TRUE,应用物理学,2021/11/6
2022wl023,智能化光伏建筑一体化的设计,FALSE,,,其它,"与传统能源相比，光伏发电具有清洁False污染、安全性能高、使用寿命长，建设周期短等优点。目前，光伏发电在我国和世界上的应用越来越广泛。它已经渗透到我们生活的方方面面。其中，光伏建筑一体化是光伏发电应用的一个新的重要领域。
光伏建筑一体化技术是将光伏发电产品集成到建筑上的技术。这项技术的发展对于解决建筑、尤其是高层建筑的能源供应，降低城市的污染具有重要作用。
本课题拟将光伏建筑一体化技术和智能化技术相结合，提出一个优化的智能型光伏建筑一体化技术的设计方案。以降低建筑能源损耗，更合理的使用光伏发电的能源，给人们的城市生活创造一个相对清洁的环境。",,李鹏飞,TRUE,应用物理学,2021/11/6
,物理微视频的设计与录制,FALSE,,,基础型,"随着生活节奏的加快，媒体受众形成“碎片化”的接受模式，也越来越受教育者以及学习这的青睐。现阶段，微视频已经逐渐渗入学习的各个方面，并在学习中占有重要的地位。课题基于物理课程，进行微视频设计，主要的研究内容如下：
1、什么是微视频，它有哪些特征？如何制作微视频？常用的微视频制作工具以及方法。
2、现阶段各学科微视频制作的主要特点研究，并重点分析物理微视频的特点，分析信息传达的特征，如声音、图片，以及文字等各个方面。
3、以及学习者心理特征，选定1-2个知识点，进行微视频制作思路的设计，并利用微软听听文档，录制1-2个微视频。
4、总结",,高兰香,FALSE,应用物理学,2021/11/6
2022wl045,金属有机骨架化合物吸附有机污染物的研究,FALSE,,,基础型,金属有机多孔骨架化合物（MOFs)是一类由含氧、氮等的多齿有机配体(大多是芳香多羧酸) 与过渡金属离子自组装而成的多孔晶体材料。金属有机物骨架化合物具有制备灵活、骨架柔性、易裁剪性。通过选择功能性的金属中心离子和具有功能官能团的有机配体赋予目标金属-有机骨架化合物多功能的性质；还可以通过调变有机配体的大小来实现对孔道形状和尺寸的控制。因此，通过设计合成可获得特定性质的MOFs材料。目前金属有机骨架化合物已广泛用于催化、分子识别、手性拆分、气体吸附储存，污染物的吸附消除等方面。工业废水含有苯酚、糠醛及亚甲基蓝等有机污染物，开发研制有效绿色的废水污染物消除方法有着重要的意义。本研究主要研究几种金属有机骨架化合物对苯酚及糠醛的吸附行为，探讨吸附机制，为设计高效吸附剂提供理论指导。,FALSE,杨杰,TRUE,应用物理学,2021/11/6
2022xj027,微分中值定理的证明、应用与推广,TRUE,11801356,,基础型,"微分中值定理是微分学的核心定理之一。微分中值定理是研究函数性态和函数性质的重要工具，它有着明显的物理意义和几何意义。以拉氏中值定理(拉格朗日中值定理)为例，它表明“一个表示事物运动函数的曲线段，必定有一点的切线要平行于曲线段两个端点连接的弦。所以人们十分重视微分中值定理及其应用的研究。微分中值定理是大学数学中重要的定理之一，是微分教学的重要内容．教学难点是，证明过程中要构造一个合适的辅助函数，因此，辅助函数的构造就成为中值定理教学的关键。微分中值定理在日常生活中还有很多应用，这也是我们需要探讨的问题。
",数学分析知识扎实，自学能力强，能独立思考。,刘琼,TRUE,信息与计算科学,2021/11/6
2022xj028,关于False穷级数求和的研究,TRUE,11801356,,基础型,"近代微积分的酝酿，主要是在17世纪上半叶这半个世纪。这个时期标志着文艺复兴以来在资本主义生产力刺激下蓬勃发展的自然科学开始迈入综合与突破阶段，这种综合与突破所面临的数学困难，使微积分的基本问题空前的成为人们关注的焦点。在这个时间，几乎所有的数学大师都致力于相关问题的研究，特别是描述运动与变化的False限小算法，并在相当短时期内，取得了迅速的发展。在18世纪，微积分进一步深入发展并和广泛的应用紧密交织在一起。其中它的发展与False穷级数的研究密不可分。牛顿在他的流数理论中自由运用False穷级数，他凭籍二项式定理得到了许多函数的级数。泰勒级数则提供了将函数展成False穷级数的一般方法。在18世纪，各种初等函数的级数展开陆续得到，并在解析运算中代表函数成为微积分的有力工具。其中，雅各布．伯努利撰写了一系列False穷级数的论文，使他成为当时这一领域的权威。这一时期，一方面，微积分不断取得各种显著的成就，得到各种更强有力的应用；另一方面，在某些领域，数学家们由于滥用微积分而得到很多荒谬的结论。这种荒谬性突出的表现在False穷级数的使用上。这些悖论刺激了人们对False穷级数收敛性的思考。18世纪先后出现了一些级数收敛判别法则。
    本课题将对各类False穷级数的敛散性和求和进行深入探讨。",数学分析知识扎实，自学能力强，能独立思考。,刘琼,TRUE,信息与计算科学,2021/11/6
2022xj068,基于随机利率下寿险精算模型的讨论,FALSE,,,基础型,"利率对保险商业具有重要而显著的影响，特别是在人寿保险中，利率的影响更为显著。它是决定企业资金成本高低的主要因素，同时也是企业筹资、投资的决定性因素，对金融环境的研究必须注意利率现状及其变动趋势。所以，利率风险对保险公司的影响巨大，如果保险公司以假定的固定利率来计算的话，肯定会造成损失，随机利率下的寿险精算理论与方法研究成为了近年来研究的热点与重点。
论文在一般的利率模型基础上，进一步考虑了随机利率因素，对随机利率采用随机过程建模，得到了随机利率下即时给付的增额寿险的给付现值和各阶矩以及方差的计算，并在常见的四种死亡力假设（常见的死亡力假设有：De Moivir假设、Gompertz假设、Makeham假设和Weibull假设)下和利息力累积函数采用不同的随机过程建模等特定条件给出矩的简洁表达式。
",有一定利息理论的基础。,张申媛,TRUE,信息与计算科学,2021/11/6
2022xj018,傅里叶级数的应用探析,TRUE,61903244,国家自然科学基金青年项目,基础型,自傅立叶级数建立一百多年来，随着电力、电子、计算机技术的迅速发展，傅立叶变换及其分析方法不仅应用于电力、通信、雷达、声纳和控制等领域，而且还在力学、光学、量子物理和各种线性系统分析等领域中得到广泛的应用，尤其是现代控制技术、现代通信技术和数字信号处理技术的发展和应用都离不开傅立叶变换。傅里叶级数函数具有周期性，生成的图形本身就具有较强的节奏性和美感，再对傅里叶级数函数曲线进行一些变形、变体、组合、 排列处理，能创作出具有一定美感的图形，可用于包装设计等，实现了数学与艺术的结合。,"1、能够阅读中、外文文献，善于思考；
2、具备MATLAB基础；",李丽珍,TRUE,信息与计算科学,2021/11/6
2022wl001,量子纠缠态在量子代理签名中的应用,FALSE,,,基础型,听说过薛定谔家养的一只猫吗？它很可怜，它放在一个不透明的盒子里，然后把这个盒子连接到一个包含放射性原子核和有毒气体的实验装置。量子理论认为：如果没有揭开盖子，进行观察，我们永远也不知道猫是死是活，她将永远到处于半死不活的叠加态。这与我们的日常经验严重相违，要么死，要么活，怎么可能不死不活？这就是量子纠缠态。另一方面，由于特殊原因，原始签名人不能亲自进行签名，需要授权他的代理签名人代替他行使签名权，并生成有效签名，这就是代理签名。本课题将上述两者结合起来，探究量子代理签名方案。量子代理签名方案理论计算简单，具有委托随时取消性、防滥用性和不可伪造性等特点。,,曹海静,TRUE,应用物理学,2021/11/6
2022wl002,量子隐形传态方案的理论研究,FALSE,,,基础型,你和他人之间的交流是绝对安全保密的吗？经典通信False法保证，但量子通信却可以。量子隐形传态是量子通信中最简单的一种全新的通信方式，它传输的不再是经典信息而是量子态携带的量子信息。待传输的量子态如同经历了科幻小说中描写的“超时空传输”，在一个地方神秘地消失，不需要任何载体的携带，又在另一个地方神秘地出现。通俗来讲就是：将甲地的某一粒子的未知量子态在乙地的另一粒子上还原出来。本课题以量子力学初级知识为基础，建立量子隐形传态理论方案，并期待在国内外刊物上发表。量子通信拥有“绝不泄密”的本领，除了在保护通信安全的前提下，还有“反窃听”的功能，从而可以保证内容的绝密。,,曹海静,TRUE,应用物理学,2021/11/6
2022wl003,量子通信发展概述,FALSE,,,基础型,量子通信是量子信息学的一个重要分支，是量子信息中研究较早的领域。量子通信具有绝对保密、通信容量大、传输速度快等优点，可以完成经典通信所不能完成的特殊任务。量子通信可以用来构建False法破译的密钥系统，因此量子通信成为当今世界关注的科技前沿。量子通信是以量子态作为信息元实现对信息的有效传送。它是继电话和光通信之后通信史上的又一次革命。本课题主要论述量子通信的发展进程。同时期待学生对今后量子通信的发展做出自己的预期和展望。,,曹海静,TRUE,应用物理学,2021/11/6
2022wl004,论熵,FALSE,,,基础型,“熵”是什么呢？宏观上，体系的熵等于可逆过程吸收或耗散的热量除以它的绝对温度；微观上，熵是大量微观粒子的位置和速度的分布概率的函数，是描述系统中大量微观粒子的False序性的宏观参量。信息是知识量的一个度量标准，并不是知识本身。就像能量多少并不能告诉你事物的性质，位置，形式等等属性。信息也同样如此。熵是信息的一种，它可以帮助理解信息的基本物理性质。本题目在概念和数学表达上给出信息与熵的联系和区别，阐述信息熵是系统有序性的合适的量度。以热力学第二定律为出发点，拓展思维。宇宙万物的一切变化都在热力学的掌控之中，热力学第二定律是所有物理定律的基础，因为它界定了一切变化的方向，如生命本质和时间流向。,,曹海静,TRUE,应用物理学,2021/11/6
